,Date,Team,Acquired,Relinquished,Notes
37659,4/16/2023,Bucks, Giannis Antetokounmpo,,activated from IL
37660,4/16/2023,Bucks, Grayson Allen,,activated from IL
37661,4/16/2023,Bucks, Khris Middleton,,activated from IL
37662,4/16/2023,Clippers, Marcus Morris,,activated from IL
37663,4/16/2023,Grizzlies, Dillon Brooks,,activated from IL
37664,4/16/2023,Grizzlies, Ja Morant,,activated from IL
37665,4/16/2023,Grizzlies, Jaren Jackson Jr.,,activated from IL
37666,4/16/2023,Grizzlies, Santi Aldama,,activated from IL
37643,4/15/2023,76ers, De'Anthony Melton,,activated from IL
37644,4/15/2023,76ers, James Harden,,activated from IL
37645,4/15/2023,76ers, P.J. Tucker,,activated from IL
37646,4/15/2023,76ers, Tobias Harris,,activated from IL
37647,4/15/2023,76ers, Tyrese Maxey,,activated from IL
37648,4/15/2023,Cavaliers, Caris LeVert,,activated from IL
37649,4/15/2023,Cavaliers, Darius Garland,,activated from IL
37650,4/15/2023,Cavaliers, Donovan Mitchell,,activated from IL
37651,4/15/2023,Cavaliers, Isaac Okoro,,activated from IL
37652,4/15/2023,Celtics, Al Horford,,activated from IL
37653,4/15/2023,Celtics, Malcolm Brogdon,,activated from IL
37654,4/15/2023,Celtics, Marcus Smart,,activated from IL
37655,4/15/2023,Kings, Davion Mitchell,,activated from IL
37656,4/15/2023,Knicks, Duane Washington Jr.,,activated from IL
37657,4/15/2023,Knicks, Jalen Brunson,,activated from IL
37658,4/15/2023,Knicks, Julius Randle,,activated from IL
37641,4/12/2023,Raptors, Fred VanVleet,,activated from IL
37642,4/12/2023,Raptors, Ogugua Anunoby / O.G. Anunoby,,activated from IL
37635,4/11/2023,Celtics, Jaylen Brown,,activated from IL
37636,4/11/2023,Hawks, Clint Capela,,activated from IL
37637,4/11/2023,Hawks, Dejounte Murray,,activated from IL
37638,4/11/2023,Hawks, John Collins (Martin),,activated from IL
37639,4/11/2023,Hawks, Trae Young,,activated from IL
37640,4/11/2023,Timberwolves, Jaylen Nowell,,activated from IL
37622,4/9/2023,Cavaliers,, Caris LeVert,placed on IL with sore right knee
37623,4/9/2023,Grizzlies,, Dillon Brooks,placed on IL with groin injury
37624,4/9/2023,Grizzlies,, Ja Morant,placed on IL with right hand injury
37625,4/9/2023,Grizzlies,, Jaren Jackson Jr.,placed on IL with sore left elbow
37626,4/9/2023,Grizzlies, Ziaire Williams,,activated from IL
37627,4/9/2023,Heat, Edrice Adebayo / Bam Adebayo,,activated from IL
37628,4/9/2023,Heat, Kyle Lowry,,activated from IL
37629,4/9/2023,Heat, Tyler Herro,,activated from IL
37630,4/9/2023,Kings,, Davion Mitchell,placed on IL with sore left knee
37631,4/9/2023,Knicks,, Trevor Keels,placed on IL with illness
37632,4/9/2023,Nuggets, Bruce Brown,,activated from IL
37633,4/9/2023,Spurs,, Zach Collins,placed on IL with lacerated finger
37634,4/9/2023,Timberwolves, Austin Rivers,,activated from IL
37606,4/8/2023,Celtics,, Al Horford,placed on IL with back injury
37607,4/8/2023,Hawks,, Clint Capela,placed on IL with right calf injury
37608,4/8/2023,Hawks,, Dejounte Murray,placed on IL with sore left ankle
37609,4/8/2023,Hawks,, John Collins (Martin),placed on IL with back injury
37610,4/8/2023,Hawks,, Trae Young,placed on IL with right groin injury
37611,4/8/2023,Kings, De'Aaron Fox,,activated from IL
37612,4/8/2023,Kings, Domantas Sabonis,,activated from IL
37613,4/8/2023,Magic,, Moritz Wagner / Moe Wagner,placed on IL with sprained right ankle
37614,4/8/2023,Nuggets,, Bruce Brown,placed on IL with left knee inflammation
37615,4/8/2023,Nuggets, Aaron Gordon,,activated from IL
37616,4/8/2023,Nuggets, Jamal Murray,,activated from IL
37617,4/8/2023,Nuggets, Kentavious Caldwell-Pope,,activated from IL
37618,4/8/2023,Nuggets, Nikola Jokic,,activated from IL
37619,4/8/2023,Raptors,, Fred VanVleet,placed on IL with left thumb injury
37620,4/8/2023,Raptors,, Ogugua Anunoby / O.G. Anunoby,placed on IL with sore right ankle
37621,4/8/2023,Spurs,, Devin Vassell,placed on IL with left knee injury
37584,4/7/2023,76ers,, De'Anthony Melton,placed on IL with calf injury
37585,4/7/2023,76ers,, James Harden,placed on IL with left Achilles injury
37586,4/7/2023,76ers,, P.J. Tucker,placed on IL with right calf injury
37587,4/7/2023,76ers,, Tobias Harris,placed on IL with left hip injury
37588,4/7/2023,Bulls, Alex Caruso,,activated from IL
37589,4/7/2023,Celtics,, Jaylen Brown,placed on IL with lacerated finger
37590,4/7/2023,Celtics,, Malcolm Brogdon,placed on IL with sore lower back
37591,4/7/2023,Celtics, Payton Pritchard,,activated from IL
37592,4/7/2023,Grizzlies,, Santi Aldama,placed on IL with sore left elbow
37593,4/7/2023,Hawks, De'Andre Hunter,,activated from IL
37594,4/7/2023,Heat,, Edrice Adebayo / Bam Adebayo,placed on IL with strained left quadriceps
37595,4/7/2023,Heat,, Kyle Lowry,placed on IL with sore left knee
37596,4/7/2023,Heat,, Tyler Herro,placed on IL with bruised right quadriceps
37597,4/7/2023,Kings,, De'Aaron Fox,placed on IL with sore left ankle
37598,4/7/2023,Kings,, Domantas Sabonis,placed on IL with sore left ankle
37599,4/7/2023,Knicks, R.J. Barrett,,activated from IL
37600,4/7/2023,Magic, Gary Harris,,activated from IL
37601,4/7/2023,Mavericks,, Kyrie Irving,placed on IL with right foot injury
37602,4/7/2023,Pacers,, Jalen Smith,placed on IL with sore right knee
37603,4/7/2023,Pacers,, T.J. McConnell,placed on IL with hip injury
37604,4/7/2023,Warriors,, Ty Jerome,placed on IL with illness
37605,4/7/2023,Warriors, Klay Thompson,,activated from IL
37569,4/6/2023,76ers,, Tyrese Maxey,placed on IL with stiff neck
37570,4/6/2023,Bucks,, Khris Middleton,placed on IL with sore right knee
37571,4/6/2023,Celtics, Al Horford,,activated from IL
37572,4/6/2023,Celtics, Jayson Tatum,,activated from IL
37573,4/6/2023,Jazz,, Talen Horton-Tucker,placed on IL with sore left ankle
37574,4/6/2023,Magic,, Gary Harris,placed on IL with left adductor injury
37575,4/6/2023,Magic,, Paolo Banchero,placed on IL with back injury
37576,4/6/2023,Nuggets,, Aaron Gordon,placed on IL with right shoulder inflammation
37577,4/6/2023,Nuggets,, Jamal Murray,placed on IL with sprained right thumb
37578,4/6/2023,Nuggets,, Kentavious Caldwell-Pope,placed on IL with illness
37579,4/6/2023,Nuggets,, Nikola Jokic,placed on IL with right calf injury
37580,4/6/2023,Nuggets, Zeke Nnaji,,activated from IL
37581,4/6/2023,Spurs,, Devonte' Graham,placed on IL with strained left adductor
37582,4/6/2023,Spurs, Keldon Johnson,,activated from IL
37583,4/6/2023,Wizards, Delon Wright,,activated from IL
37551,4/5/2023,Bucks,, Giannis Antetokounmpo,placed on IL with sore right knee
37552,4/5/2023,Bucks, Jevon Carter,,activated from IL
37553,4/5/2023,Bulls,, Alex Caruso,placed on IL with sore left foot
37554,4/5/2023,Cavaliers,, Darius Garland,placed on IL with bruised left leg
37555,4/5/2023,Cavaliers,, Donovan Mitchell,placed on IL with left finger injury
37556,4/5/2023,Celtics,, Al Horford,placed on IL with tightness in lower back
37557,4/5/2023,Celtics,, Jayson Tatum,placed on IL with bruised left hip
37558,4/5/2023,Celtics,, Marcus Smart,placed on IL with neck spasms
37559,4/5/2023,Celtics,, Payton Pritchard,placed on IL with left heel injury
37560,4/5/2023,Celtics, Jaylen Brown,,activated from IL
