GAME_ID,SEASON,date,HOME_TEAM_ID,VISITOR_TEAM_ID,home_points,home_fg_pct,home_ft_pct,home_fg3_pct,home_ast,home_reb,away_points,away_fg_pct,away_ft_pct,away_fg3_pct,away_ast,away_reb,home_win,point_diff,total_points,home_team_name,away_team_name
42100406,2021,2022-06-16,1610612738,1610612744,90.0,0.425,0.917,0.393,27.0,41.0,103.0,0.413,1.0,0.413,27.0,44.0,0,-13.0,193.0,Boston Celtics,Golden State Warriors
42100405,2021,2022-06-13,1610612744,1610612738,104.0,0.466,0.867,0.225,23.0,39.0,94.0,0.413,0.677,0.344,18.0,47.0,1,10.0,198.0,Golden State Warriors,Boston Celtics
42100404,2021,2022-06-10,1610612738,1610612744,97.0,0.4,0.737,0.395,22.0,42.0,107.0,0.44,0.8,0.349,20.0,55.0,0,-10.0,204.0,Boston Celtics,Golden State Warriors
42100403,2021,2022-06-08,1610612738,1610612744,116.0,0.483,0.708,0.371,28.0,47.0,100.0,0.462,0.867,0.375,22.0,31.0,1,16.0,216.0,Boston Celtics,Golden State Warriors
42100402,2021,2022-06-05,1610612744,1610612738,107.0,0.453,0.7,0.405,25.0,42.0,88.0,0.375,0.765,0.405,24.0,43.0,1,19.0,195.0,Golden State Warriors,Boston Celtics
42100401,2021,2022-06-02,1610612744,1610612738,108.0,0.443,0.733,0.422,24.0,39.0,120.0,0.506,0.813,0.512,33.0,39.0,0,-12.0,228.0,Golden State Warriors,Boston Celtics
42100307,2021,2022-05-29,1610612748,1610612738,96.0,0.42,0.667,0.2,16.0,44.0,100.0,0.412,0.792,0.344,22.0,51.0,0,-4.0,196.0,Miami Heat,Boston Celtics
42100306,2021,2022-05-27,1610612738,1610612748,103.0,0.444,0.903,0.333,22.0,34.0,111.0,0.462,0.96,0.429,25.0,37.0,0,-8.0,214.0,Boston Celtics,Miami Heat
42100315,2021,2022-05-26,1610612744,1610612742,120.0,0.511,1.0,0.389,36.0,51.0,110.0,0.451,0.76,0.405,22.0,34.0,1,10.0,230.0,Golden State Warriors,Dallas Mavericks
42100305,2021,2022-05-25,1610612748,1610612738,80.0,0.319,0.929,0.156,14.0,49.0,93.0,0.465,0.739,0.303,24.0,46.0,0,-13.0,173.0,Miami Heat,Boston Celtics
42100314,2021,2022-05-24,1610612742,1610612744,119.0,0.5,0.773,0.465,30.0,45.0,109.0,0.488,0.654,0.357,26.0,42.0,1,10.0,228.0,Dallas Mavericks,Golden State Warriors
42100304,2021,2022-05-23,1610612738,1610612748,102.0,0.397,0.842,0.235,21.0,60.0,82.0,0.333,0.571,0.389,22.0,39.0,1,20.0,184.0,Boston Celtics,Miami Heat
42100313,2021,2022-05-22,1610612742,1610612744,100.0,0.4,0.794,0.289,18.0,33.0,109.0,0.469,0.88,0.344,28.0,47.0,0,-9.0,209.0,Dallas Mavericks,Golden State Warriors
42100303,2021,2022-05-21,1610612738,1610612748,103.0,0.486,0.767,0.375,21.0,44.0,109.0,0.467,0.857,0.333,22.0,34.0,0,-6.0,212.0,Boston Celtics,Miami Heat
42100312,2021,2022-05-20,1610612744,1610612742,126.0,0.561,0.8,0.5,33.0,43.0,117.0,0.474,0.759,0.467,22.0,30.0,1,9.0,243.0,Golden State Warriors,Dallas Mavericks
42100302,2021,2022-05-19,1610612748,1610612738,102.0,0.442,0.727,0.294,21.0,42.0,127.0,0.512,0.913,0.5,28.0,41.0,0,-25.0,229.0,Miami Heat,Boston Celtics
42100311,2021,2022-05-18,1610612744,1610612742,112.0,0.561,0.625,0.345,24.0,51.0,87.0,0.36,0.667,0.229,14.0,35.0,1,25.0,199.0,Golden State Warriors,Dallas Mavericks
42100301,2021,2022-05-17,1610612748,1610612738,118.0,0.488,0.882,0.333,18.0,39.0,107.0,0.456,0.75,0.324,22.0,38.0,1,11.0,225.0,Miami Heat,Boston Celtics
42100217,2021,2022-05-15,1610612738,1610612749,109.0,0.42,0.722,0.4,29.0,48.0,81.0,0.367,0.688,0.121,20.0,56.0,1,28.0,190.0,Boston Celtics,Milwaukee Bucks
42100227,2021,2022-05-15,1610612756,1610612742,90.0,0.379,0.667,0.353,22.0,39.0,123.0,0.568,1.0,0.487,14.0,43.0,0,-33.0,213.0,Phoenix Suns,Dallas Mavericks
42100216,2021,2022-05-13,1610612749,1610612738,95.0,0.409,0.889,0.241,15.0,49.0,108.0,0.437,0.652,0.395,22.0,42.0,0,-13.0,203.0,Milwaukee Bucks,Boston Celtics
42100236,2021,2022-05-13,1610612744,1610612763,110.0,0.394,0.727,0.377,24.0,70.0,96.0,0.354,0.65,0.417,21.0,44.0,1,14.0,206.0,Golden State Warriors,Memphis Grizzlies
42100206,2021,2022-05-12,1610612755,1610612748,90.0,0.414,0.857,0.324,21.0,35.0,99.0,0.483,0.727,0.25,19.0,49.0,0,-9.0,189.0,Philadelphia 76ers,Miami Heat
42100226,2021,2022-05-12,1610612742,1610612756,113.0,0.455,0.75,0.41,18.0,39.0,86.0,0.397,0.857,0.333,18.0,45.0,1,27.0,199.0,Dallas Mavericks,Phoenix Suns
42100215,2021,2022-05-11,1610612738,1610612749,107.0,0.512,0.867,0.323,25.0,36.0,110.0,0.435,0.81,0.448,22.0,49.0,0,-3.0,217.0,Boston Celtics,Milwaukee Bucks
42100235,2021,2022-05-11,1610612763,1610612744,134.0,0.475,0.733,0.439,37.0,55.0,95.0,0.45,0.692,0.359,22.0,37.0,1,39.0,229.0,Memphis Grizzlies,Golden State Warriors
42100205,2021,2022-05-10,1610612748,1610612755,120.0,0.536,0.739,0.394,26.0,46.0,85.0,0.365,0.933,0.281,14.0,36.0,1,35.0,205.0,Miami Heat,Philadelphia 76ers
42100225,2021,2022-05-10,1610612756,1610612742,110.0,0.494,0.75,0.375,28.0,50.0,80.0,0.38,0.667,0.25,9.0,38.0,1,30.0,190.0,Phoenix Suns,Dallas Mavericks
42100214,2021,2022-05-09,1610612749,1610612738,108.0,0.415,0.778,0.333,18.0,48.0,116.0,0.5,0.9,0.378,25.0,38.0,0,-8.0,224.0,Milwaukee Bucks,Boston Celtics
42100234,2021,2022-05-09,1610612744,1610612763,101.0,0.4,0.909,0.243,25.0,54.0,98.0,0.417,0.6,0.257,25.0,48.0,1,3.0,199.0,Golden State Warriors,Memphis Grizzlies
42100224,2021,2022-05-08,1610612742,1610612756,111.0,0.447,0.789,0.455,22.0,37.0,101.0,0.464,0.778,0.36,27.0,44.0,1,10.0,212.0,Dallas Mavericks,Phoenix Suns
42100204,2021,2022-05-08,1610612755,1610612748,116.0,0.544,0.765,0.485,25.0,32.0,108.0,0.463,0.893,0.2,24.0,33.0,1,8.0,224.0,Philadelphia 76ers,Miami Heat
42100213,2021,2022-05-07,1610612749,1610612738,103.0,0.404,0.824,0.265,20.0,53.0,101.0,0.368,0.824,0.273,23.0,47.0,1,2.0,204.0,Milwaukee Bucks,Boston Celtics
42100233,2021,2022-05-07,1610612744,1610612763,142.0,0.624,0.905,0.531,34.0,38.0,112.0,0.435,0.762,0.372,21.0,30.0,1,30.0,254.0,Golden State Warriors,Memphis Grizzlies
42100203,2021,2022-05-06,1610612755,1610612748,99.0,0.478,0.864,0.485,22.0,43.0,79.0,0.351,0.75,0.233,14.0,36.0,1,20.0,178.0,Philadelphia 76ers,Miami Heat
42100223,2021,2022-05-06,1610612742,1610612756,103.0,0.444,0.769,0.333,25.0,36.0,94.0,0.447,0.867,0.464,23.0,45.0,1,9.0,197.0,Dallas Mavericks,Phoenix Suns
42100202,2021,2022-05-04,1610612748,1610612755,119.0,0.513,0.806,0.483,25.0,44.0,103.0,0.452,0.864,0.267,17.0,34.0,1,16.0,222.0,Miami Heat,Philadelphia 76ers
42100222,2021,2022-05-04,1610612756,1610612742,129.0,0.645,0.857,0.52,28.0,34.0,109.0,0.456,0.833,0.415,19.0,25.0,1,20.0,238.0,Phoenix Suns,Dallas Mavericks
42100212,2021,2022-05-03,1610612738,1610612749,109.0,0.475,0.867,0.465,28.0,40.0,86.0,0.466,0.652,0.167,16.0,37.0,1,23.0,195.0,Boston Celtics,Milwaukee Bucks
42100232,2021,2022-05-03,1610612763,1610612744,106.0,0.396,0.952,0.311,17.0,49.0,101.0,0.421,0.778,0.184,27.0,52.0,1,5.0,207.0,Memphis Grizzlies,Golden State Warriors
42100201,2021,2022-05-02,1610612748,1610612755,106.0,0.435,0.944,0.25,21.0,47.0,92.0,0.43,0.9,0.176,18.0,37.0,1,14.0,198.0,Miami Heat,Philadelphia 76ers
42100221,2021,2022-05-02,1610612756,1610612742,121.0,0.505,1.0,0.393,27.0,51.0,114.0,0.471,0.72,0.41,16.0,36.0,1,7.0,235.0,Phoenix Suns,Dallas Mavericks
42100211,2021,2022-05-01,1610612738,1610612749,89.0,0.333,0.75,0.36,21.0,48.0,101.0,0.411,0.714,0.353,22.0,54.0,0,-12.0,190.0,Boston Celtics,Milwaukee Bucks
42100231,2021,2022-05-01,1610612763,1610612744,116.0,0.432,0.75,0.4,26.0,46.0,117.0,0.484,0.65,0.368,31.0,52.0,0,-1.0,233.0,Memphis Grizzlies,Golden State Warriors
42100156,2021,2022-04-29,1610612750,1610612763,106.0,0.452,0.692,0.387,22.0,37.0,114.0,0.465,0.792,0.469,24.0,55.0,0,-8.0,220.0,Minnesota Timberwolves,Memphis Grizzlies
42100136,2021,2022-04-28,1610612761,1610612755,97.0,0.393,0.8,0.2,15.0,37.0,132.0,0.58,0.957,0.4,32.0,47.0,0,-35.0,229.0,Toronto Raptors,Philadelphia 76ers
42100146,2021,2022-04-28,1610612740,1610612756,109.0,0.506,0.895,0.333,25.0,36.0,115.0,0.6,0.944,0.4,23.0,32.0,0,-6.0,224.0,New Orleans Pelicans,Phoenix Suns
42100176,2021,2022-04-28,1610612762,1610612742,96.0,0.429,0.75,0.257,20.0,48.0,98.0,0.45,0.818,0.395,22.0,37.0,0,-2.0,194.0,Utah Jazz,Dallas Mavericks
42100125,2021,2022-04-27,1610612749,1610612741,116.0,0.494,0.8,0.389,23.0,51.0,100.0,0.424,0.636,0.288,24.0,37.0,1,16.0,216.0,Milwaukee Bucks,Chicago Bulls
42100165,2021,2022-04-27,1610612744,1610612743,102.0,0.451,0.714,0.419,28.0,37.0,98.0,0.444,0.69,0.207,26.0,50.0,1,4.0,200.0,Golden State Warriors,Denver Nuggets
42100105,2021,2022-04-26,1610612748,1610612737,97.0,0.451,0.762,0.226,19.0,33.0,94.0,0.419,0.857,0.32,15.0,42.0,1,3.0,191.0,Miami Heat,Atlanta Hawks
42100155,2021,2022-04-26,1610612763,1610612750,111.0,0.415,0.667,0.25,24.0,53.0,109.0,0.446,0.875,0.424,23.0,42.0,1,2.0,220.0,Memphis Grizzlies,Minnesota Timberwolves
42100145,2021,2022-04-26,1610612756,1610612740,112.0,0.5,0.8,0.37,28.0,40.0,97.0,0.4,0.8,0.2,14.0,47.0,1,15.0,209.0,Phoenix Suns,New Orleans Pelicans
42100114,2021,2022-04-25,1610612751,1610612738,112.0,0.506,0.586,0.371,28.0,38.0,116.0,0.472,0.818,0.4,26.0,45.0,0,-4.0,228.0,Brooklyn Nets,Boston Celtics
42100135,2021,2022-04-25,1610612755,1610612761,88.0,0.383,0.8,0.27,21.0,37.0,103.0,0.512,0.846,0.258,24.0,40.0,0,-15.0,191.0,Philadelphia 76ers,Toronto Raptors
42100175,2021,2022-04-25,1610612742,1610612762,102.0,0.435,0.762,0.279,16.0,49.0,77.0,0.377,0.762,0.1,12.0,40.0,1,25.0,179.0,Dallas Mavericks,Utah Jazz
42100124,2021,2022-04-24,1610612741,1610612749,95.0,0.389,0.941,0.25,27.0,44.0,119.0,0.523,0.667,0.515,21.0,51.0,0,-24.0,214.0,Chicago Bulls,Milwaukee Bucks
42100164,2021,2022-04-24,1610612743,1610612744,126.0,0.562,0.806,0.484,28.0,33.0,121.0,0.5,0.719,0.353,26.0,36.0,1,5.0,247.0,Denver Nuggets,Golden State Warriors
42100104,2021,2022-04-24,1610612737,1610612748,86.0,0.4,0.55,0.357,18.0,41.0,110.0,0.435,0.81,0.31,22.0,48.0,0,-24.0,196.0,Atlanta Hawks,Miami Heat
42100144,2021,2022-04-24,1610612740,1610612756,118.0,0.471,0.762,0.25,20.0,48.0,103.0,0.506,0.667,0.259,33.0,39.0,1,15.0,221.0,New Orleans Pelicans,Phoenix Suns
42100134,2021,2022-04-23,1610612761,1610612755,110.0,0.42,0.8,0.235,19.0,46.0,102.0,0.425,0.84,0.419,24.0,41.0,1,8.0,212.0,Toronto Raptors,Philadelphia 76ers
42100174,2021,2022-04-23,1610612762,1610612742,100.0,0.405,0.619,0.286,17.0,46.0,99.0,0.429,0.783,0.341,15.0,43.0,1,1.0,199.0,Utah Jazz,Dallas Mavericks
42100113,2021,2022-04-23,1610612751,1610612738,103.0,0.506,0.813,0.414,25.0,33.0,109.0,0.5,0.929,0.308,26.0,34.0,0,-6.0,212.0,Brooklyn Nets,Boston Celtics
42100154,2021,2022-04-23,1610612750,1610612763,119.0,0.473,0.775,0.5,23.0,34.0,118.0,0.488,0.76,0.469,31.0,39.0,1,1.0,237.0,Minnesota Timberwolves,Memphis Grizzlies
42100103,2021,2022-04-22,1610612737,1610612748,111.0,0.513,0.81,0.375,23.0,36.0,110.0,0.441,0.824,0.311,30.0,45.0,1,1.0,221.0,Atlanta Hawks,Miami Heat
42100123,2021,2022-04-22,1610612741,1610612749,81.0,0.393,0.6,0.265,22.0,43.0,111.0,0.473,0.714,0.366,27.0,55.0,0,-30.0,192.0,Chicago Bulls,Milwaukee Bucks
