date,rot,vh,team,1st,2nd,3rd,4th,final,open,close,ml,2h,season
1016,501,V,Philadelphia,21,21,24,21,87,208.5,211.5,170,106.0,2018-19
1016,502,H,Boston,21,26,30,28,105,5.0,4.5,-200,1.0,2018-19
1016,503,V,OklahomaCity,23,24,32,21,100,223.5,220.5,711,108.5,2018-19
1016,504,H,GoldenState,31,26,26,25,108,11.5,12.0,-1100,4.5,2018-19
1017,701,V,Memphis,16,23,19,25,83,209.0,204.5,263,1.0,2018-19
1017,702,H,Indiana,27,29,20,35,111,7.0,7.5,-325,99.0,2018-19
1017,703,V,Milwaukee,36,31,26,20,113,1.5,3.0,-165,114.0,2018-19
1017,704,H,Charlotte,23,31,29,29,112,217.0,222.0,144,2.5,2018-19
1017,705,V,Miami,31,20,27,23,101,2.0,2.5,-135,3.0,2018-19
1017,706,H,Orlando,25,29,25,25,104,210.5,208.0,115,103.0,2018-19
1017,707,V,Brooklyn,29,22,25,24,100,212.0,213.0,211,110.5,2018-19
1017,708,H,Detroit,24,27,32,20,103,4.5,6.0,-255,4.0,2018-19
1017,709,V,Atlanta,24,25,35,23,107,213.5,216.5,148,4.0,2018-19
1017,710,H,NewYork,23,49,34,20,126,3.5,4.0,-170,106.0,2018-19
1017,711,V,Cleveland,25,22,28,29,104,214.0,215.5,797,106.5,2018-19
1017,712,H,Toronto,28,32,30,26,116,11.5,12.5,-1300,3.0,2018-19
1017,713,V,NewOrleans,35,36,30,30,131,229.5,233.0,278,114.0,2018-19
1017,714,H,Houston,29,25,30,28,112,7.5,8.0,-345,9.5,2018-19
1017,715,V,Minnesota,23,29,31,25,108,210.5,212.0,125,105.0,2018-19
1017,716,H,SanAntonio,31,25,25,31,112,1.0,2.5,-145,0.5,2018-19
1017,717,V,Utah,30,38,25,30,123,7.5,8.5,-400,1.5,2018-19
1017,718,H,Sacramento,34,21,32,30,117,208.0,205.5,317,106.0,2018-19
1017,719,V,Dallas,24,22,27,27,100,215.0,2.5,-130,4.5,2018-19
1017,720,H,Phoenix,37,19,27,38,121,1.0,212.5,110,106.0,2018-19
1017,721,V,Denver,29,30,15,33,107,227.0,2.0,-125,110.5,2018-19
1017,722,H,LAClippers,24,30,18,26,98,,222.5,105,0.5,2018-19
1018,501,V,Chicago,41,17,18,32,108,215.0,221.0,733,109.0,2018-19
1018,502,H,Philadelphia,38,27,37,25,127,11.0,12.5,-1150,5.0,2018-19
1018,503,V,Miami,24,34,27,28,113,212.0,215.0,215,106.5,2018-19
1018,504,H,Washington,25,34,30,23,112,4.0,6.0,-260,3.5,2018-19
1018,505,V,LALakers,31,32,28,28,119,222.0,224.0,135,112.0,2018-19
1018,506,H,Portland,34,31,28,35,128,2.5,3.0,-155,1.5,2018-19
1019,701,V,Charlotte,22,29,31,38,120,,1.5,-125,107.5,2018-19
1019,702,H,Orlando,10,21,23,34,88,217.0,215.5,105,4.5,2018-19
1019,703,V,NewYork,24,26,26,29,105,218.5,222.0,148,110.0,2018-19
1019,704,H,Brooklyn,33,24,17,33,107,3.0,4.0,-170,,2018-19
1019,705,V,Sacramento,32,31,27,39,129,228.0,232.5,664,115.0,2018-19
1019,706,H,NewOrleans,40,32,38,39,149,10.5,11.5,-1000,4.0,2018-19
1019,707,V,Boston,25,28,26,22,101,206.0,209.5,135,109.0,2018-19
1019,708,H,Toronto,18,31,33,31,113,3.0,3.0,-155,2.5,2018-19
1019,709,V,Cleveland,30,24,41,28,123,223.5,223.0,334,1.0,2018-19
1019,710,H,Minnesota,32,39,33,27,131,8.0,8.5,-425,107.5,2018-19
1019,711,V,Atlanta,33,28,21,35,117,208.5,217.0,237,0.5,2018-19
1019,712,H,Memphis,37,40,29,25,131,6.5,7.0,-290,107.5,2018-19
1019,713,V,Indiana,25,28,23,25,101,214.5,217.0,144,0.5,2018-19
1019,714,H,Milwaukee,30,32,31,25,118,3.0,3.5,-165,105.5,2018-19
1019,715,V,GoldenState,32,37,28,27,124,2.0,2.5,-135,5.5,2018-19
1019,716,H,Utah,34,47,22,20,123,218.0,217.5,115,108.5,2018-19
1019,717,V,OklahomaCity,20,26,31,15,92,215.5,214.0,130,106.0,2018-19
1019,718,H,LAClippers,27,21,23,37,108,1.5,3.0,-150,1.0,2018-19
1020,501,V,Toronto,24,33,33,27,117,1.0,219.5,110,108.5,2018-19
1020,502,H,Washington,22,32,28,31,113,216.5,2.0,-130,1.5,2018-19
1020,503,V,Brooklyn,29,29,27,27,112,210.5,214.5,303,111.5,2018-19
1020,504,H,Indiana,33,34,28,37,132,9.0,8.0,-380,2.0,2018-19
1020,505,V,Orlando,32,20,34,29,115,217.0,217.5,797,106.5,2018-19
1020,506,H,Philadelphia,30,33,26,27,116,11.5,12.5,-1300,4.0,2018-19
1020,507,V,Boston,31,19,27,26,103,8.0,9.5,-500,6.5,2018-19
1020,508,H,NewYork,18,30,22,31,101,211.5,210.5,384,109.0,2018-19
1020,509,V,Charlotte,34,38,20,21,113,216.5,220.5,135,112.0,2018-19
1020,510,H,Miami,29,23,30,30,112,5.0,3.5,-155,7.0,2018-19
1020,511,V,Detroit,25,35,25,33,118,2.5,5.0,-200,2.5,2018-19
1020,512,H,Chicago,27,31,26,32,116,214.0,217.0,170,106.5,2018-19
1020,513,V,Minnesota,46,23,30,37,136,2.5,220.5,110,110.0,2018-19
1020,514,H,Dallas,37,32,28,43,140,216.0,2.0,-130,1.0,2018-19
1020,515,V,Phoenix,16,33,30,12,91,223.0,224.5,459,110.5,2018-19
1020,516,H,Denver,30,35,27,27,119,9.0,10.5,-620,1.0,2018-19
1020,517,V,SanAntonio,22,28,32,26,108,213.0,214.0,172,110.0,2018-19
1020,518,H,Portland,22,37,38,24,121,4.0,5.0,-205,,2018-19
1020,519,V,Houston,31,35,32,26,124,2.0,3.5,-160,1.0,2018-19
1020,520,H,LALakers,28,34,35,18,115,235.0,237.5,140,117.0,2018-19
1021,701,V,Atlanta,24,40,28,41,133,226.5,232.5,303,115.0,2018-19
1021,702,H,Cleveland,34,26,26,25,111,5.5,8.0,-380,8.0,2018-19
1021,703,V,Sacramento,34,34,29,34,131,219.5,222.5,477,111.5,2018-19
1021,704,H,OklahomaCity,32,24,34,30,120,8.5,10.5,-650,10.0,2018-19
1021,705,V,GoldenState,25,24,21,28,98,3.0,4.5,-189,2.5,2018-19
1021,706,H,Denver,17,30,33,20,100,230.0,230.5,163,113.0,2018-19
1021,707,V,Houston,24,29,31,28,112,2.5,220.5,115,107.5,2018-19
1021,708,H,LAClippers,29,25,39,22,115,225.0,2.5,-135,1.0,2018-19
1022,501,V,Charlotte,22,25,32,27,106,221.0,225.0,317,115.5,2018-19
1022,502,H,Toronto,31,31,35,30,127,9.0,8.5,-400,,2018-19
1022,503,V,Orlando,28,20,27,18,93,212.0,211.5,611,104.5,2018-19
1022,504,H,Boston,19,26,25,20,90,12.0,11.0,-894,9.5,2018-19
1022,505,V,Indiana,28,21,24,18,91,221.5,229.5,110,112.0,2018-19
1022,506,H,Minnesota,25,25,22,29,101,2.0,2.0,-130,1.0,2018-19
1022,507,V,NewYork,29,23,35,26,113,222.0,227.0,614,110.5,2018-19
1022,508,H,Milwaukee,33,38,17,36,124,10.0,11.5,-900,1.0,2018-19
1022,509,V,Chicago,28,33,23,25,109,228.5,229.0,170,112.0,2018-19
1022,510,H,Dallas,31,28,29,27,115,4.5,5.0,-200,4.5,2018-19
1022,511,V,Memphis,19,28,23,22,92,218.0,213.5,506,105.0,2018-19
1022,512,H,Utah,22,24,17,21,84,9.0,11.0,-700,8.0,2018-19
1022,513,V,Washington,28,34,16,33,125,226.0,228.0,160,114.0,2018-19
1022,514,H,Portland,32,30,15,34,124,4.5,4.5,-185,3.5,2018-19
1022,515,V,SanAntonio,40,25,34,29,143,222.5,226.5,110,116.5,2018-19
1022,516,H,LALakers,26,34,36,32,142,1.0,2.0,-130,2.5,2018-19
1022,517,V,Phoenix,23,24,34,22,103,228.5,227.5,797,111.0,2018-19
1022,518,H,GoldenState,32,38,36,17,123,13.0,12.5,-1300,1.5,2018-19
1023,701,V,Philadelphia,28,36,30,26,132,3.0,1.0,-120,105.5,2018-19
1023,702,H,Detroit,27,34,26,33,133,219.0,214.5,100,0.5,2018-19
1023,703,V,LAClippers,26,36,22,25,109,233.0,237.5,203,116.0,2018-19
1023,704,H,NewOrleans,27,32,32,25,116,5.5,5.5,-245,5.5,2018-19
1023,705,V,Sacramento,26,29,26,31,112,227.0,229.5,614,111.5,2018-19
1023,706,H,Denver,33,35,37,21,126,11.5,12.0,-900,3.0,2018-19
1024,501,V,Brooklyn,24,21,38,19,102,228.0,226.0,125,116.0,2018-19
1024,502,H,Cleveland,17,28,17,24,86,3.0,2.5,-145,2.0,2018-19
1024,503,V,Dallas,42,16,29,17,104,2.5,2.0,-130,116.0,2018-19
1024,504,H,Atlanta,22,26,32,31,111,231.5,235.5,110,2.5,2018-19
1024,505,V,NewYork,27,18,20,22,87,224.0,218.0,300,106.0,2018-19
1024,506,H,Miami,16,31,45,18,110,8.0,8.0,-400,4.5,2018-19
1024,507,V,Minnesota,19,29,26,31,105,226.0,226.5,325,111.5,2018-19
1024,508,H,Toronto,26,31,26,29,112,8.0,8.5,-425,2.0,2018-19
1024,509,V,Charlotte,27,26,29,28,110,3.5,4.5,-200,4.0,2018-19
1024,510,H,Chicago,24,30,34,24,112,227.0,229.5,170,118.0,2018-19
1024,511,V,Utah,24,28,23,25,100,218.5,217.5,-105,110.5,2018-19
1024,512,H,Houston,29,15,22,23,89,3.5,1.0,-115,3.0,2018-19
1024,513,V,Indiana,28,34,26,28,116,215.0,210.5,105,103.0,2018-19
1024,514,H,SanAntonio,22,28,21,25,96,2.0,1.5,-125,4.0,2018-19
1024,515,V,Philadelphia,34,30,17,27,108,224.5,228.5,180,113.0,2018-19
1024,516,H,Milwaukee,22,49,21,31,123,4.5,5.0,-220,0.5,2018-19
1024,517,V,LALakers,32,44,30,25,131,2.0,5.5,-230,115.5,2018-19
1024,518,H,Phoenix,30,24,32,27,113,234.0,238.0,185,4.0,2018-19
1024,519,V,Memphis,28,24,19,21,92,2.0,2.5,-140,105.5,2018-19
1024,520,H,Sacramento,19,25,27,26,97,220.0,220.5,120,1.0,2018-19
1024,521,V,Washington,37,34,26,25,122,231.5,235.5,450,118.0,2018-19
1024,522,H,GoldenState,46,34,35,29,144,9.5,10.0,-650,3.0,2018-19
1025,701,V,Cleveland,27,23,18,35,103,223.5,216.5,375,106.5,2018-19
1025,702,H,Detroit,30,28,22,30,110,6.5,9.5,-500,3.5,2018-19
1025,703,V,Portland,33,25,33,37,128,3.5,3.5,-170,110.0,2018-19
1025,704,H,Orlando,22,26,36,30,114,219.0,213.5,145,1.5,2018-19
1025,705,V,Boston,16,18,40,27,101,209.0,219.0,-110,5.0,2018-19
1025,706,H,OklahomaCity,22,28,23,22,95,1.5,,-110,112.0,2018-19
1025,707,V,Denver,26,31,32,25,114,3.5,1.5,-120,1.0,2018-19
1025,708,H,LALakers,22,36,29,34,121,239.0,235.0,100,115.0,2018-19
1026,501,V,Chicago,25,29,21,31,106,228.0,223.0,450,109.5,2018-19
1026,502,H,Charlotte,23,45,34,33,135,8.0,10.5,-650,1.5,2018-19
1026,503,V,Dallas,26,34,29,18,107,229.0,221.5,650,109.5,2018-19
1026,504,H,Toronto,39,30,23,24,116,10.5,11.5,-1000,4.5,2018-19
1026,505,V,GoldenState,25,28,28,47,128,11.5,11.5,-1000,8.5,2018-19
1026,506,H,NewYork,25,28,31,16,100,228.0,225.0,650,109.5,2018-19
1026,507,V,Brooklyn,30,36,25,24,115,234.0,231.5,375,119.0,2018-19
1026,508,H,NewOrleans,32,25,31,29,117,9.5,9.0,-500,9.0,2018-19
1026,509,V,LAClippers,31,39,26,37,133,219.0,217.5,150,107.0,2018-19
1026,510,H,Houston,30,31,22,30,113,3.0,4.0,-180,5.0,2018-19
1026,511,V,Milwaukee,27,36,34,28,125,2.0,2.0,-130,118.0,2018-19
1026,512,H,Minnesota,16,22,29,28,95,232.0,233.0,110,5.5,2018-19
1026,513,V,Washington,27,34,24,27,112,4.5,5.5,-240,1.5,2018-19
1026,514,H,Sacramento,28,27,24,37,116,236.0,236.0,190,115.5,2018-19
1027,701,V,Boston,30,33,21,25,109,3.5,3.5,-160,110.5,2018-19
1027,702,H,Detroit,21,20,26,22,89,205.5,212.0,140,4.5,2018-19
1027,703,V,Utah,28,36,38,30,132,226.0,6.0,-260,113.0,2018-19
1027,704,H,NewOrleans,31,18,33,29,111,,220.5,210,1.5,2018-19
1027,705,V,Charlotte,28,34,23,18,103,230.5,232.5,230,113.5,2018-19
1027,706,H,Philadelphia,32,31,20,22,105,6.0,7.0,-280,5.0,2018-19
1027,707,V,Chicago,22,19,26,30,97,231.5,232.5,190,116.5,2018-19
1027,708,H,Atlanta,25,19,19,22,85,4.0,5.5,-240,3.0,2018-19
1027,709,V,Indiana,30,30,28,31,119,6.5,7.5,-350,3.0,2018-19
1027,710,H,Cleveland,30,25,28,24,107,215.0,213.5,275,104.5,2018-19
1027,711,V,Portland,22,20,37,32,111,222.0,220.5,105,4.0,2018-19
1027,712,H,Miami,33,24,32,31,120,1.0,1.5,-125,113.5,2018-19
1027,713,V,Phoenix,18,25,28,25,96,206.5,207.0,275,3.0,2018-19
