Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
9134,2006-11-01,Blazers,, Sergio Rodriguez,placed on IL
9135,2006-11-01,Blazers, Martell Webster,,activated from IL
9136,2006-11-01,Bobcats,, Primoz Brezec,placed on IL with dehydration
9137,2006-11-01,Bobcats, Walter Herrmann,,activated from IL
9138,2006-11-01,Bulls,, Tyrus Thomas,placed on IL with fractured nose
9139,2006-11-01,Bulls, Andre Barrett,,activated from IL
9140,2006-11-01,Kings,, Quincy Douby,placed on IL
9141,2006-11-01,Kings, Mike Bibby,,activated from IL
9142,2006-11-01,Magic,, J.J. Redick,placed on IL with back spasms
9143,2006-11-01,Magic, Keith Bogans,,activated from IL
9144,2006-11-01,Rockets,, Bonzi Wells,placed on IL with groin injury
9145,2006-11-01,Rockets, Scott Padgett,,activated from IL
9146,2006-11-02,Mavericks,, Devean George,placed on IL with stomach illness
9147,2006-11-02,Mavericks,, Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,placed on IL with strained tendon in left foot
9148,2006-11-02,Mavericks, Maurice Ager,,activated from IL
9149,2006-11-02,Mavericks, Pops Mensah-Bonsu,,activated from IL
9150,2006-11-02,Nuggets,, DerMarr Johnson,placed on IL
9151,2006-11-02,Nuggets, Nene / Nene Hilario / Maybyner Hilario,,activated from IL
9152,2006-11-03,Blazers,, Raef LaFrentz,placed on IL
9153,2006-11-03,Blazers, Sergio Rodriguez,,activated from IL
9154,2006-11-03,Bulls,, Andre Barrett,placed on IL
9155,2006-11-03,Bulls,, Michael Sweetney / Mike Sweetney,placed on IL with right knee injury
9156,2006-11-03,Bulls, Tyrus Thomas,,activated from IL
9157,2006-11-03,Magic,, Carlos Arroyo,placed on IL with hamstring injury
9158,2006-11-03,Sonics,, Johan Petro,placed on IL with irregular heartbeat
9159,2006-11-03,Sonics, Kareem Rush,,activated from IL
9160,2006-11-03,Spurs,, James White,placed on IL
9161,2006-11-03,Warriors,, Keith McLeod,placed on IL with sprained right ankle
9162,2006-11-03,Warriors, Adonal Foyle,,activated from IL
9163,2006-11-04,Jazz,, Rafael Araujo,placed on IL
9164,2006-11-04,Jazz, Dee Brown (b. 1984-08-17),,activated from IL
9165,2006-11-04,Mavericks,, Pops Mensah-Bonsu,placed on IL
9166,2006-11-04,Mavericks, Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
9167,2006-11-04,Rockets,, Scott Padgett,placed on IL
9168,2006-11-04,Rockets, Bonzi Wells,,activated from IL
9169,2006-11-05,Magic, Carlos Arroyo,,activated from IL
9170,2006-11-05,Sonics,, Andreas Glyniadakis,placed on IL
9171,2006-11-05,Sonics, Johan Petro,,activated from IL
9172,2006-11-06,Kings,, Brad Miller,placed on IL with plantar fascia in left foot
9173,2006-11-06,Kings, Vitaly Potapenko,,activated from IL
9174,2006-11-07,76ers, Ivan McFarland,,activated from IL
9175,2006-11-07,Cavaliers,, Ira Newble,placed on IL
9176,2006-11-07,Cavaliers, Shannon Brown,,activated from IL
9177,2006-11-07,Grizzlies,, Alexander Johnson,placed on IL
9178,2006-11-07,Grizzlies, Stromile Swift,,activated from IL
9179,2006-11-07,Heat,, Shaquille O'Neal,placed on IL with bruised left knee
9180,2006-11-07,Rockets,, Bonzi Wells,placed on IL with groin injury
9181,2006-11-07,Rockets, Scott Padgett,,activated from IL
9182,2006-11-08,Celtics,, Al Jefferson,placed on IL with appendectomy
9183,2006-11-08,Celtics, Brian Scalabrine,,activated from IL
9184,2006-11-08,Celtics, Theo Ratliff,,activated from IL
9185,2006-11-08,Mavericks,, Josh Howard,placed on IL with sprained left ankle
9186,2006-11-08,Mavericks, Devean George,,activated from IL
9187,2006-11-08,Pacers,, Maceo Baston,placed on IL
9188,2006-11-08,Pacers, Josh Powell,,activated from IL
9189,2006-11-08,Pistons,, Will Blalock,placed on IL
9190,2006-11-08,Pistons, Ronald Dupree,,activated from IL
9191,2006-11-09,Suns,, Raja Bell,placed on IL with bruised ribs
9192,2006-11-09,Warriors,, Jason Richardson,placed on IL with stiffness in left knee
9193,2006-11-09,Warriors, Dajuan Wagner,,activated from IL
9194,2006-11-10,Celtics,, Leon Powe,placed on IL
9195,2006-11-10,Heat, Shaquille O'Neal,,activated from IL
9196,2006-11-10,Jazz,, Gordan Giricek,placed on IL with sore right Achilles tendon
9197,2006-11-10,Jazz, Roger Powell,,activated from IL
9198,2006-11-10,Magic,, Travis Diener,placed on IL
9199,2006-11-10,Magic, Trevor Ariza,,activated from IL
9200,2006-11-10,Nuggets,, Kenyon Martin Sr.,placed on IL with left knee injury
9201,2006-11-10,Nuggets, DerMarr Johnson,,activated from IL
9202,2006-11-10,Pistons,, Richard Hamilton,placed on IL with hyperextended right elbow
9203,2006-11-10,Pistons, Dale Davis,,activated from IL
9204,2006-11-10,Sonics,, Mouhamed Sene / Saer Sene,placed on IL
9205,2006-11-10,Sonics, Andreas Glyniadakis,,activated from IL
9206,2006-11-11,Celtics,, Theo Ratliff,placed on IL with bulging disc in lower back
9207,2006-11-11,Celtics,, Wally Szczerbiak,placed on IL with strained lower back
9208,2006-11-11,Celtics, Leon Powe,,activated from IL
9209,2006-11-11,Grizzlies,, Brian Cardinal,placed on IL for personal reasons
9210,2006-11-11,Grizzlies,, Iakovos Tsakalidis / Jake Tsakalidis,placed on IL with right knee injury
9211,2006-11-11,Grizzlies, Alexander Johnson,,activated from IL
9212,2006-11-11,Magic,, Grant Hill,placed on IL with sore ankle
9213,2006-11-11,Magic, Travis Diener,,activated from IL
9214,2006-11-11,Warriors,, Ike Diogu,placed on IL with sprained ankle
9215,2006-11-11,Warriors, Jason Richardson,,activated from IL
9216,2006-11-12,Blazers,, Joel Przybilla,placed on IL with abdominal injury
9217,2006-11-12,Blazers, LaMarcus Aldridge,,activated from IL
9218,2006-11-12,Bobcats,, Walter Herrmann,placed on IL
9219,2006-11-12,Bobcats, Alan Anderson,,activated from IL
9220,2006-11-12,Kings,, Vitaly Potapenko,placed on IL
9221,2006-11-12,Kings, Quincy Douby,,activated from IL
9222,2006-11-12,Lakers, Kwame Brown,,activated from IL
9223,2006-11-12,Nuggets,, Nene / Nene Hilario / Maybyner Hilario,placed on IL with bruised right knee
9224,2006-11-12,Wizards,, Andray Blatche,placed on IL
9225,2006-11-12,Wizards, Calvin Booth,,activated from IL
9226,2006-11-13,Celtics, Wally Szczerbiak,,activated from IL
9227,2006-11-13,Magic,, Travis Diener,placed on IL
9228,2006-11-13,Magic, Grant Hill,,activated from IL
9229,2006-11-14,Bulls,, Adrian Griffin,placed on IL with strained calf
9230,2006-11-14,Bulls, Michael Sweetney / Mike Sweetney,,activated from IL
9231,2006-11-14,Clippers,, Yaroslav Korolev,placed on IL
9232,2006-11-14,Clippers, Aaron Williams,,activated from IL
9233,2006-11-14,Heat,, Shaquille O'Neal,placed on IL with hyperextended left knee
9234,2006-11-14,Hornets,, David West,placed on IL with strained left forearm
9235,2006-11-14,Hornets, Marcus Vinicius Viera de Souza,,activated from IL
