Player,Team,Absence_Start,Absence_End,Missed_Days
(James) Mike Scott,Wizards,2018-03-21,2018-03-23,2
(William) Tony Parker,Spurs,2007-01-07,2007-01-09,2
(William) Tony Parker,Spurs,2007-03-03,2007-03-06,3
(William) Tony Parker,Spurs,2007-04-16,2007-12-17,245
(William) Tony Parker,Spurs,2007-12-15,2008-11-28,349
(William) Tony Parker,Spurs,2008-01-29,2009-11-14,655
(William) Tony Parker,Spurs,2008-11-11,2009-11-21,375
(William) Tony Parker,Spurs,2009-11-09,2010-02-04,87
(William) Tony Parker,Spurs,2009-11-18,2010-02-17,91
(William) Tony Parker,Spurs,2010-01-29,2010-02-24,26
(William) Tony Parker,Spurs,2010-02-11,2010-02-28,17
(William) Tony Parker,Spurs,2010-02-21,2010-04-06,44
(William) Tony Parker,Spurs,2010-02-26,2011-03-04,371
(William) Tony Parker,Spurs,2010-03-10,2012-03-12,733
(William) Tony Parker,Spurs,2011-03-01,2012-11-13,623
(William) Tony Parker,Spurs,2012-03-09,2013-03-22,378
(William) Tony Parker,Spurs,2012-04-25,2013-04-12,352
(William) Tony Parker,Spurs,2012-11-10,2013-11-30,385
(William) Tony Parker,Spurs,2013-03-03,2013-12-21,293
(William) Tony Parker,Spurs,2013-04-06,2014-02-08,308
(William) Tony Parker,Spurs,2013-11-29,2014-03-02,93
(William) Tony Parker,Spurs,2013-12-18,2014-04-11,114
(William) Tony Parker,Spurs,2014-02-06,2014-12-22,319
(William) Tony Parker,Spurs,2014-02-18,2015-01-06,322
(William) Tony Parker,Spurs,2014-04-08,2015-12-12,613
(William) Tony Parker,Spurs,2014-12-14,2016-01-08,390
(William) Tony Parker,Spurs,2014-12-28,2016-01-22,390
(William) Tony Parker,Spurs,2015-12-11,2016-11-11,336
(William) Tony Parker,Spurs,2016-01-04,2016-12-05,336
(William) Tony Parker,Spurs,2016-01-21,2016-12-08,322
(William) Tony Parker,Spurs,2016-11-04,2017-01-27,84
(William) Tony Parker,Spurs,2016-12-02,2017-03-03,91
(William) Tony Parker,Spurs,2016-12-06,2017-03-18,102
(William) Tony Parker,Spurs,2017-01-24,2017-11-27,307
(William) Tony Parker,Spurs,2017-03-01,2017-12-06,280
(William) Tony Parker,Spurs,2017-03-15,2017-12-12,272
(William) Tony Parker,Spurs,2017-05-05,2017-12-18,227
